X1,X2,class
0.569482767,0.822003271,a
0.411469228,0.911423652,a
0.417384635,-0.90872992,a
-0.7918276,0.61074467,a
-0.806776652,-0.590856525,a
-0.71542713,0.698687356,a
0.498621675,-0.866819719,a
0.579992019,0.814622157,a
0.498935469,0.866639139,a
-0.734605107,0.678494905,a
0.321895489,-0.946775208,a
0.501055986,0.865414871,a
0.327675913,-0.944790186,a
-0.718806852,0.695209831,a
-0.655354144,-0.75532175,a
0.567600301,0.823304256,a
-0.60197239,0.798516902,a
0.413560753,0.910476526,a
0.428099804,0.903731463,a
-0.831904155,0.554919342,a
0.232889671,-0.972503163,a
0.403735427,0.914875786,a
0.346526694,-0.938040111,a
0.402015069,-0.915633051,a
-0.618333622,-0.785915729,a
-0.84866819,0.528925612,a
0.506825779,-0.862048508,a
-1,0,a
0.573270851,-0.819365932,a
-0.617110978,0.786876128,a
-0.777017941,0.62947845,a
-0.801596416,-0.597865525,a
-0.78020816,0.625519966,a
-0.775216519,-0.631695614,a
-0.827490863,0.561479181,a
0.561557871,-0.827437464,a
-0.808977617,-0.587839447,a
0.36807308,0.929796864,a
0.436487579,-0.899710283,a
-0.81714133,0.576437375,a
0.52281979,0.852443234,a
-0.735187823,-0.677863456,a
-0.615912813,-0.787814322,a
0.213229587,-0.97700212,a
-0.90194954,-0.431841438,a
-0.610421093,0.792077072,a
0.501245548,-0.865305091,a
0.333042202,0.942911921,a
0.525322484,-0.850903219,a
-0.647912093,-0.761715117,a
0.449224897,0.89341871,a
-0.8312092,-0.55595977,a
0.415922258,-0.909400173,a
-0.856839744,0.515582829,a
-0.616986913,0.786973411,a
0.318589188,0.947892889,a
0.537096194,0.843521,a
0.513400034,-0.858149407,a
0.439472206,0.898256189,a
0.506072004,-0.862491233,a
-0.855427433,0.517922685,a
-0.744210668,0.667944969,a
-0.741755108,0.670670829,a
0.368383912,0.929673756,a
0.422891183,0.906180472,a
-0.593024136,-0.805184683,a
0.5109744,-0.85959593,a
-0.865534983,-0.500848474,a
0.490755026,-0.871297598,a
0.554058912,-0.83247746,a
0.334659326,0.942339183,a
-0.766197166,0.642605558,a
0.441527956,-0.897247493,a
0.5087993,0.860885168,a
0.500477,0.865749832,a
-0.670120232,0.742252568,a
-0.806665369,0.591008445,a
0.330836476,-0.943688098,a
0.553510046,-0.832842499,a
0.475043712,0.879962199,a
-0.65593783,0.75481492,a
-0.593427836,-0.804887199,a
0.588677082,-0.80836829,a
0.569550436,-0.821956386,a
0.475052215,-0.879957609,a
-0.77312788,-0.634250172,a
-0.830624437,0.55683305,a
-0.756480224,-0.654016567,a
-0.600120274,-0.79990978,a
0.567649408,-0.823270399,a
-0.837717884,0.546103238,a
-0.697713727,0.716376685,a
-0.840527601,-0.541768726,a
0.550150916,-0.835065249,a
-0.74726883,0.664521855,a
0.426336161,-0.9045648,a
-0.14907017,0.98882662,a
0.52341151,0.852080038,a
-0.679502965,-0.733672761,a
